year,<=0,>0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
1957,4,966,0.315,0.419,0.479,0.534,0.584,0.633,0.703,0.753,0.81,0.878,0.936,1.032,1.12,1.217,1.339,1.481,1.668,2.034,2.482,52.965
1958,2,993,0.377,0.475,0.568,0.645,0.71,0.776,0.841,0.926,1.019,1.127,1.226,1.348,1.486,1.601,1.762,1.984,2.259,2.653,3.581,89.73
1959,3,990,0.274,0.346,0.413,0.464,0.517,0.563,0.607,0.651,0.701,0.78,0.859,0.941,1.025,1.127,1.206,1.331,1.496,1.743,2.165,14.763
1960,2,1011,0.232,0.325,0.381,0.44,0.493,0.541,0.587,0.641,0.684,0.732,0.785,0.867,0.941,1.038,1.149,1.265,1.413,1.628,2.21,21.226
1961,2,1033,0.208,0.326,0.389,0.443,0.51,0.552,0.609,0.665,0.723,0.784,0.857,0.943,1.049,1.141,1.296,1.481,1.684,1.998,2.532,34.389
1962,1,1055,0.179,0.253,0.321,0.373,0.419,0.457,0.498,0.549,0.588,0.647,0.706,0.779,0.871,0.952,1.052,1.211,1.4,1.647,2.122,41.535
1963,2,1091,0.265,0.341,0.403,0.448,0.511,0.557,0.618,0.676,0.732,0.793,0.868,0.957,1.073,1.178,1.27,1.411,1.609,1.908,2.413,43.427
1964,1,1088,0.242,0.319,0.379,0.424,0.478,0.527,0.574,0.625,0.657,0.719,0.778,0.85,0.932,1.008,1.14,1.256,1.428,1.655,2.135,43.22
1965,2,1112,0.245,0.308,0.349,0.389,0.432,0.476,0.522,0.564,0.609,0.655,0.716,0.789,0.858,0.925,1.036,1.148,1.277,1.477,1.923,13.732
1966,2,1130,0.208,0.271,0.318,0.358,0.403,0.438,0.468,0.501,0.54,0.584,0.631,0.679,0.734,0.798,0.86,0.943,1.053,1.256,1.605,6.648
1967,2,1132,0.22,0.303,0.371,0.43,0.477,0.523,0.58,0.636,0.686,0.729,0.773,0.834,0.89,0.985,1.096,1.215,1.36,1.61,2.112,9.122
1968,4,1100,0.146,0.211,0.268,0.318,0.36,0.403,0.446,0.483,0.517,0.555,0.609,0.658,0.705,0.751,0.808,0.886,0.986,1.158,1.507,5.457
1969,6,1146,0.138,0.194,0.237,0.275,0.309,0.343,0.386,0.419,0.452,0.482,0.517,0.549,0.596,0.63,0.677,0.724,0.787,0.906,1.151,3.716
1970,7,1201,0.148,0.221,0.303,0.368,0.421,0.483,0.537,0.589,0.631,0.681,0.733,0.796,0.852,0.918,1.004,1.119,1.24,1.448,1.811,8.266
1971,10,1222,0.192,0.283,0.361,0.436,0.499,0.56,0.612,0.662,0.721,0.767,0.813,0.865,0.926,1.005,1.101,1.215,1.381,1.578,2.104,18.646
1972,11,1291,0.167,0.246,0.306,0.359,0.436,0.498,0.549,0.615,0.661,0.725,0.774,0.829,0.88,0.943,1.017,1.119,1.313,1.489,1.884,25.701
1973,9,1356,0.165,0.233,0.31,0.381,0.455,0.508,0.57,0.633,0.697,0.758,0.809,0.859,0.907,0.99,1.078,1.171,1.308,1.506,1.967,44.705
1974,8,1365,0.266,0.389,0.525,0.651,0.76,0.88,0.987,1.08,1.168,1.24,1.34,1.429,1.549,1.68,1.832,2.029,2.294,2.707,3.448,22.386
1975,6,1374,0.439,0.644,0.871,1.078,1.247,1.4,1.527,1.65,1.767,1.898,2.018,2.16,2.33,2.538,2.821,3.182,3.606,4.237,5.454,60.511
